game,scene_id,scene,seq,speaker,speaker_canon,type,register,register_source,p_narration,n_words,text_sha1
Blood Omen,1,Opening,1,,,action,,,,10,afa22f41dd71
Blood Omen,1,Opening,2,,,action,,,,13,7380d973319b
Blood Omen,1,Opening,3,Member of the Circle of Nine #1,Member of the Circle of Nine #1,speech,dialogue,model,0.0086,1,37a99a5555d5
Blood Omen,1,Opening,4,,,action,,,,12,637872251d46
Blood Omen,1,Opening,5,Member of the Circle of Nine #1,Member of the Circle of Nine #1,speech,dialogue,model,0.0086,1,37a99a5555d5
Blood Omen,1,Opening,6,,,action,,,,13,6744623033f8
Blood Omen,1,Opening,7,Member of the Circle of Nine #1,Member of the Circle of Nine #1,speech,dialogue,model,0.0086,1,24f763596c2c
Blood Omen,1,Opening,8,,,action,,,,12,e251345758d8
Blood Omen,1,Opening,9,Member of the Circle of Nine #3,Member of the Circle of Nine #3,speech,dialogue,model,0.0086,1,37a99a5555d5
Blood Omen,1,Opening,10,,,action,,,,12,b6c4487a8457
Blood Omen,1,Opening,11,Vorador,Vorador,speech,dialogue,model,0.0078,10,065fcd8434fe
Blood Omen,1,Opening,12,,,action,,,,14,b6e6801df4f4
Blood Omen,1,Opening,13,Mortanius,Mortanius,speech,dialogue,model,0.0171,12,9e8740c7a2d0
Blood Omen,1,Opening,14,,,action,,,,12,b7fc65127a82
Blood Omen,1,Opening,15,Mortanius,Mortanius,speech,dialogue,model,0.0447,22,bced8c8cadcb
Blood Omen,1,Opening,16,,,action,,,,11,d6fdc999df80
Blood Omen,2,The Pillars of Nosgoth,17,,,action,,,,14,4520609ec7ed
Blood Omen,2,The Pillars of Nosgoth,18,Barkeep,Barkeep,speech,dialogue,model,0.0100,9,dfb2a9917c84
Blood Omen,2,The Pillars of Nosgoth,19,Kain,Kain,speech,dialogue,none,,23,cb84fffd47ee
Blood Omen,2,The Pillars of Nosgoth,20,Barkeep,Barkeep,speech,dialogue,constraint,0.7213,21,7f04168b2af2
Blood Omen,2,The Pillars of Nosgoth,21,,,action,,,,9,606876f371c0
Blood Omen,2,The Pillars of Nosgoth,22,Kain,Kain,speech,narration,explicit_paren,,18,2561cc802acf
Blood Omen,2,The Pillars of Nosgoth,23,,,action,,,,7,fb0c0ec55f6e
Blood Omen,2,The Pillars of Nosgoth,24,Assassin,Assassin,speech,dialogue,model,0.0278,2,72ef1656827d
Blood Omen,2,The Pillars of Nosgoth,25,,,action,,,,13,35c87cc36d2d
Blood Omen,2,The Pillars of Nosgoth,26,Assassin,Assassin,speech,dialogue,model,0.0555,3,e21b0ee63596
Blood Omen,2,The Pillars of Nosgoth,27,,,action,,,,12,2d84be99dd1e
Blood Omen,2,The Pillars of Nosgoth,28,Kain,Kain,speech,narration,explicit_paren,,49,d4aa93e7380a
Blood Omen,2,The Pillars of Nosgoth,29,,,action,,,,9,82c18ff6c7cb
Blood Omen,2,The Pillars of Nosgoth,30,Kain,Kain,speech,narration,explicit_paren,,7,093a14d64b00
Blood Omen,2,The Pillars of Nosgoth,31,,,action,,,,6,48a2239476d6
Blood Omen,2,The Pillars of Nosgoth,32,Kain,Kain,speech,narration,explicit_paren,,28,91ca5d76d85a
Blood Omen,2,The Pillars of Nosgoth,33,,,action,,,,14,2a15c7a5b19e
Blood Omen,2,The Pillars of Nosgoth,34,Mortanius,Mortanius,speech,dialogue,model,0.0060,9,fa6e9d41e085
Blood Omen,2,The Pillars of Nosgoth,35,,,action,,,,13,59e3b09064fd
Blood Omen,2,The Pillars of Nosgoth,36,Kain,Kain,speech,narration,explicit_paren,,17,5e6b044a864b
Blood Omen,2,The Pillars of Nosgoth,37,,,action,,,,4,ca62caec3c67
Blood Omen,2,The Pillars of Nosgoth,38,Kain,Kain,speech,narration,explicit_paren,,42,65ab8f530e1c
Blood Omen,2,The Pillars of Nosgoth,39,,,action,,,,9,974d74a24b9e
Blood Omen,2,The Pillars of Nosgoth,40,Kain,Kain,speech,narration,explicit_paren,,21,ece4520f89b8
Blood Omen,2,The Pillars of Nosgoth,41,Assassins,Assassins,speech,dialogue,model,0.0122,10,6679ba027664
Blood Omen,2,The Pillars of Nosgoth,42,Kain,Kain,speech,narration,explicit_paren,,27,585b62ce6134
Blood Omen,2,The Pillars of Nosgoth,43,,,action,,,,8,0a6070907479
Blood Omen,2,The Pillars of Nosgoth,44,Kain,Kain,speech,narration,explicit_paren,,18,57cec04d8f80
Blood Omen,2,The Pillars of Nosgoth,45,,,action,,,,10,410bc3d26b56
Blood Omen,2,The Pillars of Nosgoth,46,,,action,,,,6,33a3161af824
Blood Omen,2,The Pillars of Nosgoth,47,Kain,Kain,speech,narration,explicit_paren,,11,c734f6aec77a
Blood Omen,2,The Pillars of Nosgoth,48,,,action,,,,14,4798f0b11598
Blood Omen,2,The Pillars of Nosgoth,49,Kain,Kain,speech,narration,explicit_paren,,25,1d3a4f4bd9d2
Blood Omen,2,The Pillars of Nosgoth,50,,,action,,,,13,57afe644a487
Blood Omen,2,The Pillars of Nosgoth,51,Ariel,Ariel,speech,dialogue,model,0.0149,10,aeb7bcaf2201
Blood Omen,2,The Pillars of Nosgoth,52,Kain,Kain,speech,dialogue,none,,11,b3cfe4591781
Blood Omen,2,The Pillars of Nosgoth,53,Ariel,Ariel,speech,dialogue,model,0.1106,35,a3aa1d12a2f8
Blood Omen,2,The Pillars of Nosgoth,54,Kain,Kain,speech,dialogue,none,,5,f01472495fe9
Blood Omen,2,The Pillars of Nosgoth,55,Ariel,Ariel,speech,dialogue,model,0.3126,63,1f71fa019bc9
Blood Omen,2,The Pillars of Nosgoth,56,,,action,,,,12,fcfcee89a8f2
Blood Omen,2,The Pillars of Nosgoth,57,Ariel,Ariel,speech,dialogue,model,0.0654,26,e2b4dd17c8c0
Blood Omen,2,The Pillars of Nosgoth,58,Kain,Kain,speech,dialogue,none,,9,a1ce4e8a9406
Blood Omen,2,The Pillars of Nosgoth,59,Ariel,Ariel,speech,dialogue,model,0.0062,7,0a709fd040dd
Blood Omen,2,The Pillars of Nosgoth,60,,,action,,,,8,cfc0c34e4a26
Blood Omen,2,The Pillars of Nosgoth,61,Kain,Kain,speech,dialogue,none,,95,e428247d787c
Blood Omen,3,Nupraptor's Retreat,62,,,action,,,,7,a6751e017e2d
Blood Omen,3,Nupraptor's Retreat,63,Kain,Kain,speech,narration,explicit_paren,,33,1f9ad69cf59e
Blood Omen,3,Nupraptor's Retreat,64,,,action,,,,12,becf112524c8
Blood Omen,3,Nupraptor's Retreat,65,Kain,Kain,speech,narration,explicit_paren,,15,40d532382c34
Blood Omen,3,Nupraptor's Retreat,66,Irmok,Irmok,speech,dialogue,model,0.1628,43,34947041dc44
Blood Omen,3,Nupraptor's Retreat,67,,,action,,,,9,470b43832d2e
Blood Omen,3,Nupraptor's Retreat,68,Kain,Kain,speech,narration,explicit_paren,,37,7b2a3d550229
Blood Omen,3,Nupraptor's Retreat,69,,,action,,,,9,3e0c2e98554f
Blood Omen,3,Nupraptor's Retreat,70,Kain,Kain,speech,narration,explicit_paren,,18,728d297cad7e
Blood Omen,3,Nupraptor's Retreat,71,,,action,,,,11,576a979dab2f
Blood Omen,3,Nupraptor's Retreat,72,Kain,Kain,speech,narration,explicit_paren,,16,cde9c0b74d62
Blood Omen,3,Nupraptor's Retreat,73,,,action,,,,7,337abea3ceae
Blood Omen,3,Nupraptor's Retreat,74,Kain,Kain,speech,narration,explicit_paren,,23,8058f7799ed8
Blood Omen,3,Nupraptor's Retreat,75,,,action,,,,6,d78d3f516b20
Blood Omen,3,Nupraptor's Retreat,76,Kain,Kain,speech,narration,explicit_paren,,20,f01285c7bf2b
Blood Omen,3,Nupraptor's Retreat,77,,,action,,,,8,08fd3f8d0051
Blood Omen,3,Nupraptor's Retreat,78,Kain,Kain,speech,narration,explicit_paren,,37,77cda5517f8b
Blood Omen,3,Nupraptor's Retreat,79,,,action,,,,10,78be7f921e7f
Blood Omen,3,Nupraptor's Retreat,80,,,action,,,,12,73a58c8df154
Blood Omen,3,Nupraptor's Retreat,81,,,action,,,,9,91cda99aafe1
Blood Omen,3,Nupraptor's Retreat,82,Kain,Kain,speech,narration,explicit_paren,,105,dafb139f0df8
Blood Omen,3,Nupraptor's Retreat,83,,,action,,,,14,f64906ced735
Blood Omen,3,Nupraptor's Retreat,84,Kain,Kain,speech,narration,explicit_paren,,30,a34b69bca63e
Blood Omen,3,Nupraptor's Retreat,85,,,action,,,,14,4b3bbeed92fb
Blood Omen,3,Nupraptor's Retreat,86,Kain,Kain,speech,narration,explicit_paren,,36,04df5a355571
Blood Omen,3,Nupraptor's Retreat,87,,,action,,,,7,4485f887d325
Blood Omen,3,Nupraptor's Retreat,88,Nupraptor,Nupraptor,speech,dialogue,model,0.0577,25,1ddc2c66bce5
Blood Omen,3,Nupraptor's Retreat,89,,,action,,,,9,771844b4ada6
