block_id,game,speaker_canon,register,register_source,p_narration,n_words,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
Blood Omen|19,Blood Omen,Kain,dialogue,none,NA,23,1,1,0,1,1,2,1,2
Blood Omen|22,Blood Omen,Kain,narration,explicit_paren,NA,18,0,1,0,1,0,0,0,0
Blood Omen|28,Blood Omen,Kain,narration,explicit_paren,NA,49,5,1,3,6,0,5,1,0
Blood Omen|30,Blood Omen,Kain,narration,explicit_paren,NA,7,0,0,0,0,0,0,0,0
Blood Omen|32,Blood Omen,Kain,narration,explicit_paren,NA,28,2,1,1,1,0,0,2,0
Blood Omen|36,Blood Omen,Kain,narration,explicit_paren,NA,17,1,0,1,3,0,3,0,0
Blood Omen|38,Blood Omen,Kain,narration,explicit_paren,NA,42,2,5,1,4,3,2,2,3
Blood Omen|40,Blood Omen,Kain,narration,explicit_paren,NA,21,0,0,0,0,0,0,0,0
Blood Omen|42,Blood Omen,Kain,narration,explicit_paren,NA,27,2,2,1,3,1,3,1,1
Blood Omen|44,Blood Omen,Kain,narration,explicit_paren,NA,18,1,1,0,0,0,0,0,0
Blood Omen|47,Blood Omen,Kain,narration,explicit_paren,NA,11,2,0,2,2,0,2,1,1
Blood Omen|49,Blood Omen,Kain,narration,explicit_paren,NA,25,1,0,1,1,1,1,0,0
Blood Omen|52,Blood Omen,Kain,dialogue,none,NA,11,1,0,1,1,0,1,0,0
Blood Omen|54,Blood Omen,Kain,dialogue,none,NA,5,0,1,0,0,0,0,0,0
Blood Omen|58,Blood Omen,Kain,dialogue,none,NA,9,0,1,0,0,0,0,0,0
Blood Omen|61,Blood Omen,Kain,dialogue,none,NA,95,2,0,1,3,0,3,0,0
Blood Omen|63,Blood Omen,Kain,narration,explicit_paren,NA,33,2,1,2,2,0,1,1,0
Blood Omen|65,Blood Omen,Kain,narration,explicit_paren,NA,15,2,1,1,2,1,0,1,1
Blood Omen|68,Blood Omen,Kain,narration,explicit_paren,NA,37,1,0,1,2,0,1,0,0
Blood Omen|70,Blood Omen,Kain,narration,explicit_paren,NA,18,0,2,0,0,2,0,0,2
Blood Omen|72,Blood Omen,Kain,narration,explicit_paren,NA,16,1,1,1,1,0,1,0,0
Blood Omen|74,Blood Omen,Kain,narration,explicit_paren,NA,23,0,0,1,1,1,1,1,1
Blood Omen|76,Blood Omen,Kain,narration,explicit_paren,NA,20,2,0,2,3,0,3,0,0
Blood Omen|78,Blood Omen,Kain,narration,explicit_paren,NA,37,0,1,0,0,1,0,0,2
Blood Omen|82,Blood Omen,Kain,narration,explicit_paren,NA,105,11,1,7,9,2,8,1,3
Blood Omen|84,Blood Omen,Kain,narration,explicit_paren,NA,30,0,1,2,1,0,1,0,2
Blood Omen|86,Blood Omen,Kain,narration,explicit_paren,NA,36,1,0,1,0,0,2,0,0
Blood Omen|90,Blood Omen,Kain,narration,explicit_paren,NA,37,4,2,3,2,0,4,1,0
Blood Omen|92,Blood Omen,Kain,narration,explicit_paren,NA,15,0,1,0,0,1,0,0,1
Blood Omen|94,Blood Omen,Kain,narration,explicit_paren,NA,94,5,3,1,4,2,2,1,5
Blood Omen|97,Blood Omen,Kain,narration,explicit_paren,NA,34,1,1,3,3,0,3,1,1
Blood Omen|99,Blood Omen,Kain,narration,explicit_paren,NA,29,1,1,2,1,1,2,1,1
Blood Omen|101,Blood Omen,Kain,narration,explicit_paren,NA,26,0,0,0,0,0,0,0,0
