a,b,measure,emotion,diff,lo,hi,excludes_zero
Kain / narration,Kain / dialogue,share,anger,0.01455738175353502,-0.010035856973795066,0.03882670553121315,FALSE
Kain / narration,Kain / dialogue,share,anticipation,-0.01909633821349893,-0.046741521701076275,0.009360190016926239,FALSE
Kain / narration,Kain / dialogue,share,disgust,0.009014045568043222,-0.015053409093403951,0.030723833128960064,FALSE
Kain / narration,Kain / dialogue,share,fear,0.016057827075207726,-0.007944116235215995,0.04179595768656272,FALSE
Kain / narration,Kain / dialogue,share,joy,0.007042906611933214,-0.014808061734544204,0.028225975723949085,FALSE
Kain / narration,Kain / dialogue,share,sadness,-0.004148753186805881,-0.030328788138960585,0.020148541504327717,FALSE
Kain / narration,Kain / dialogue,share,surprise,-0.0029195253868349244,-0.01978196871208987,0.014663037283072238,FALSE
Kain / narration,Kain / dialogue,share,trust,-0.020507544221579466,-0.051672190155096324,0.011658289171319362,FALSE
Kain / narration,Kain / dialogue,rate100,anger,1.0333549990199646,0.29959178668834696,1.7433715779263528,TRUE
Kain / narration,Kain / dialogue,rate100,anticipation,0.3272967501303521,-0.2953409926058927,0.9538576768420266,FALSE
Kain / narration,Kain / dialogue,rate100,disgust,0.7565038276323934,0.12300178065204674,1.3626094259247519,TRUE
Kain / narration,Kain / dialogue,rate100,fear,1.2626615621576227,0.4598842358668407,2.041881217148815,TRUE
Kain / narration,Kain / dialogue,rate100,joy,0.553798930770887,0.048022627412011624,1.0428362159859401,TRUE
Kain / narration,Kain / dialogue,rate100,sadness,0.5961677546971322,-0.0743505131925896,1.2371703038368267,FALSE
Kain / narration,Kain / dialogue,rate100,surprise,0.23162800565605968,-0.1490825865915183,0.6088514912199456,FALSE
Kain / narration,Kain / dialogue,rate100,trust,0.3594605527131485,-0.3026699369318514,1.0194516810338192,FALSE
Raziel / narration,Raziel / dialogue,share,anger,0.023820506763641086,-0.0047095681532368545,0.0513227867212452,FALSE
Raziel / narration,Raziel / dialogue,share,anticipation,0.018443252427824255,-0.00816448674580535,0.0459438621600368,FALSE
Raziel / narration,Raziel / dialogue,share,disgust,-0.009992122687370042,-0.03188916382120424,0.011361035120615825,FALSE
Raziel / narration,Raziel / dialogue,share,fear,-0.004841962048993426,-0.029539781133365466,0.019580903890744124,FALSE
Raziel / narration,Raziel / dialogue,share,joy,0.012537802483229027,-0.006771187973692658,0.03140438942397196,FALSE
