group,emotion,n,share,rate100
Kain / dialogue,anger,134,0.13857290589451912,2.3721012568596214
Kain / dialogue,anticipation,142,0.1468459152016546,2.5137192423437775
Kain / dialogue,disgust,105,0.10858324715615306,1.858736059479554
Kain / dialogue,fear,171,0.1768355739400207,3.0270844397238448
Kain / dialogue,joy,75,0.07755946225439504,1.327668613913967
Kain / dialogue,sadness,130,0.1344364012409514,2.301292264117543
Kain / dialogue,surprise,56,0.057911065149948295,0.9913258983890955
Kain / dialogue,trust,154,0.1592554291623578,2.7261462205700124
Kain / narration,anger,181,0.15313028764805414,3.405456255879586
Kain / narration,anticipation,151,0.12774957698815567,2.8410159924741296
Kain / narration,disgust,139,0.11759729272419628,2.6152398871119473
Kain / narration,fear,228,0.19289340101522842,4.2897460018814675
Kain / narration,joy,100,0.08460236886632826,1.881467544684854
Kain / narration,sadness,154,0.13028764805414553,2.8974600188146753
Kain / narration,surprise,65,0.05499153976311337,1.2229539040451551
Kain / narration,trust,164,0.13874788494077833,3.085606773283161
Raziel / dialogue,anger,115,0.14538558786346398,2.5906735751295336
Raziel / dialogue,anticipation,85,0.10745891276864729,1.9148456859653076
Raziel / dialogue,disgust,91,0.11504424778761062,2.0500112637981527
Raziel / dialogue,fear,177,0.22376738305941846,3.9873845460689346
Raziel / dialogue,joy,44,0.05562579013906448,0.991214237440865
Raziel / dialogue,sadness,134,0.16940581542351454,3.0186979049335436
Raziel / dialogue,surprise,38,0.04804045512010114,0.8560486596080198
Raziel / dialogue,trust,107,0.13527180783817952,2.41045280468574
Raziel / narration,anger,211,0.16920609462710506,3.400483481063658
Raziel / narration,anticipation,157,0.12590216519647154,2.530217566478646
Raziel / narration,disgust,131,0.10505212510024058,2.111200644641418
Raziel / narration,fear,273,0.21892542101042503,4.399677679290894
Raziel / narration,joy,85,0.0681635926222935,1.36986301369863
Raziel / narration,sadness,176,0.14113873295910184,2.836422240128928
Raziel / narration,surprise,74,0.05934242181234964,1.1925866236905722
Raziel / narration,trust,140,0.11226944667201283,2.2562449637389204
Supporting / dialogue,anger,356,0.13353338334583645,2.587585404855357
Supporting / dialogue,anticipation,418,0.15678919729932483,3.0382323012065706
Supporting / dialogue,disgust,268,0.1005251312828207,1.947957551969763
Supporting / dialogue,fear,488,0.18304576144036008,3.5470271841837477
Supporting / dialogue,joy,226,0.08477119279819954,1.642680622183457
Supporting / dialogue,sadness,362,0.13578394598649662,2.6311963948248294
Supporting / dialogue,surprise,152,0.05701425356339085,1.1048117458932984
Supporting / dialogue,trust,396,0.1485371342835709,2.878325337985172
