group,tokens,budget,mtld_std,ttr_std,variant,cross_character,cross_register,difference
Kain / dialogue,5624,4400,94.58726673737954,0.2546522727272727,full,0.31275184875568984,0.26763348670225706,0.04511836205343278
Kain / narration,5322,4400,97.45212258380134,0.3221556818181818,full,0.31275184875568984,0.26763348670225706,0.04511836205343278
Raziel / dialogue,4410,4400,88.25927098933349,0.2659215909090909,full,0.31275184875568984,0.26763348670225706,0.04511836205343278
Raziel / narration,6202,4400,98.2765633630074,0.3015159090909091,full,0.31275184875568984,0.26763348670225706,0.04511836205343278
Supporting / dialogue,13730,4400,91.67591637663332,0.26820568181818183,full,0.31275184875568984,0.26763348670225706,0.04511836205343278
Kain / dialogue,5555,4300,94.43163589438437,0.2567988372093023,confident,0.31355058406343717,0.26740216536980543,0.04614841869363173
Kain / narration,5322,4300,97.56787503289286,0.32453488372093026,confident,0.31355058406343717,0.26740216536980543,0.04614841869363173
Raziel / dialogue,4383,4300,88.93283296670654,0.26926395348837207,confident,0.31355058406343717,0.26740216536980543,0.04614841869363173
Raziel / narration,6128,4300,99.6807218652098,0.3045360465116279,confident,0.31355058406343717,0.26740216536980543,0.04614841869363173
Supporting / dialogue,13351,4300,91.60170091123601,0.270303488372093,confident,0.31355058406343717,0.26740216536980543,0.04614841869363173
Kain / dialogue,4237,2900,95.0985546771431,0.2959137931034483,strict,0.23624071292250987,0.23540451030902632,8.362026134835499e-4
Kain / narration,4752,2900,98.09041120447255,0.36364137931034485,strict,0.23624071292250987,0.23540451030902632,8.362026134835499e-4
Raziel / dialogue,2990,2900,99.12972189774369,0.32150172413793104,strict,0.23624071292250987,0.23540451030902632,8.362026134835499e-4
Raziel / narration,4060,2900,96.3967233936036,0.33191896551724137,strict,0.23624071292250987,0.23540451030902632,8.362026134835499e-4
Supporting / dialogue,4455,2900,92.4182430355032,0.3199051724137931,strict,0.23624071292250987,0.23540451030902632,8.362026134835499e-4
