doc,Ariel,Beast,Builder,Elder God,Janos Audron,Kain / dialogue,Kain / narration,Moebius,Mortanius,Raziel / dialogue,Raziel / narration,Sarafan Lord,Sebastian,Seer,Umah,Vorador
Ariel,NA,0.042266,0.041359,0.140606,0.131653,0.17998,0.186992,0.14644,0.076625,0.133737,0.12693,0.072025,0.034738,0.021609,0.084456,0.092072
Beast,0.042266,NA,0.074075,0.040556,0.088929,0.09748,0.053013,0.038352,0.022861,0.05416,0.051531,0.043966,0.015628,0.046233,0.126965,0.078149
Builder,0.041359,0.074075,NA,0.054173,0.06276,0.085794,0.069392,0.049405,0.022415,0.040895,0.061233,0.048277,0.022553,0.051754,0.044597,0.040003
Elder God,0.140606,0.040556,0.054173,NA,0.192794,0.304124,0.116073,0.294892,0.052941,0.16779,0.191122,0.076211,0.047573,0.060222,0.101266,0.091984
Janos Audron,0.131653,0.088929,0.06276,0.192794,NA,0.258142,0.152904,0.229049,0.105744,0.161724,0.149799,0.112537,0.05189,0.047653,0.153654,0.128734
Kain / dialogue,0.17998,0.09748,0.085794,0.304124,0.258142,NA,0.23441,0.331309,0.097889,0.328213,0.21616,0.13433,0.110009,0.07346,0.228072,0.239528
Kain / narration,0.186992,0.053013,0.069392,0.116073,0.152904,0.23441,NA,0.121244,0.093261,0.203962,0.29729,0.092195,0.057111,0.046308,0.15642,0.155938
Moebius,0.14644,0.038352,0.049405,0.294892,0.229049,0.331309,0.121244,NA,0.088596,0.223535,0.147096,0.077925,0.065952,0.051615,0.123984,0.121101
Mortanius,0.076625,0.022861,0.022415,0.052941,0.105744,0.097889,0.093261,0.088596,NA,0.119745,0.087801,0.037613,0.023552,0.011931,0.069738,0.080842
Raziel / dialogue,0.133737,0.05416,0.040895,0.16779,0.161724,0.328213,0.203962,0.223535,0.119745,NA,0.300857,0.106374,0.077254,0.067675,0.159559,0.179176
Raziel / narration,0.12693,0.051531,0.061233,0.191122,0.149799,0.21616,0.29729,0.147096,0.087801,0.300857,NA,0.070052,0.046441,0.054518,0.1165,0.136877
Sarafan Lord,0.072025,0.043966,0.048277,0.076211,0.112537,0.13433,0.092195,0.077925,0.037613,0.106374,0.070052,NA,0.049307,0.032185,0.108339,0.098167
Sebastian,0.034738,0.015628,0.022553,0.047573,0.05189,0.110009,0.057111,0.065952,0.023552,0.077254,0.046441,0.049307,NA,0.02249,0.079191,0.089189
Seer,0.021609,0.046233,0.051754,0.060222,0.047653,0.07346,0.046308,0.051615,0.011931,0.067675,0.054518,0.032185,0.02249,NA,0.090989,0.080229
Umah,0.084456,0.126965,0.044597,0.101266,0.153654,0.228072,0.15642,0.123984,0.069738,0.159559,0.1165,0.108339,0.079191,0.090989,NA,0.177166
Vorador,0.092072,0.078149,0.040003,0.091984,0.128734,0.239528,0.155938,0.121101,0.080842,0.179176,0.136877,0.098167,0.089189,0.080229,0.177166,NA
