a,b,cos
Kain / dialogue,Moebius,0.3313087932288523
Kain / dialogue,Raziel / dialogue,0.3282132719227745
Elder God,Kain / dialogue,0.3041237657283215
Raziel / dialogue,Raziel / narration,0.300857254562477
Kain / narration,Raziel / narration,0.2972904255886052
Elder God,Moebius,0.294892394924867
Janos Audron,Kain / dialogue,0.2581418849499922
Kain / dialogue,Vorador,0.2395279108770995
Kain / dialogue,Kain / narration,0.23440971884203715
Janos Audron,Moebius,0.2290490220672127
Kain / dialogue,Umah,0.22807222502361243
Moebius,Raziel / dialogue,0.2235350642280199
Kain / dialogue,Raziel / narration,0.2161596337615427
Kain / narration,Raziel / dialogue,0.2039615991407028
Elder God,Janos Audron,0.19279437974324712
Elder God,Raziel / narration,0.19112162930136475
Ariel,Kain / narration,0.18699213980292143
Ariel,Kain / dialogue,0.17997963140967485
Raziel / dialogue,Vorador,0.17917606163878433
Umah,Vorador,0.17716649403044893
Elder God,Raziel / dialogue,0.1677902704154642
Janos Audron,Raziel / dialogue,0.16172407905271444
Raziel / dialogue,Umah,0.15955887969916038
Kain / narration,Umah,0.15642024088573142
Kain / narration,Vorador,0.15593770421260028
Janos Audron,Umah,0.15365415366005147
Janos Audron,Kain / narration,0.15290421075758867
Janos Audron,Raziel / narration,0.14979914770027986
Moebius,Raziel / narration,0.14709603978998176
Ariel,Moebius,0.1464402246070202
Ariel,Elder God,0.14060632597940328
Raziel / narration,Vorador,0.13687742823050975
Kain / dialogue,Sarafan Lord,0.13432976948631362
Ariel,Raziel / dialogue,0.1337365391636017
Ariel,Janos Audron,0.1316529715867622
Janos Audron,Vorador,0.12873416394594045
Beast,Umah,0.12696451219670363
Ariel,Raziel / narration,0.12692987633643504
Moebius,Umah,0.12398362683377129
Kain / narration,Moebius,0.12124438760187431
Moebius,Vorador,0.12110076874310494
Mortanius,Raziel / dialogue,0.11974548995112377
Raziel / narration,Umah,0.11649977491733125
Elder God,Kain / narration,0.11607313526295968
Janos Audron,Sarafan Lord,0.11253667373069523
Kain / dialogue,Sebastian,0.11000892010281926
Sarafan Lord,Umah,0.10833866707132017
Raziel / dialogue,Sarafan Lord,0.10637414335567448
Janos Audron,Mortanius,0.1057439724725859
Elder God,Umah,0.10126639527178707
Sarafan Lord,Vorador,0.09816670758429133
Kain / dialogue,Mortanius,0.09788933123029606
Beast,Kain / dialogue,0.09748045715710918
Kain / narration,Mortanius,0.09326055457034005
Kain / narration,Sarafan Lord,0.09219516052697899
Ariel,Vorador,0.09207158952162775
Elder God,Vorador,0.09198380069092595
Seer,Umah,0.09098883973403397
Sebastian,Vorador,0.08918925148713701
Beast,Janos Audron,0.08892909322830764
Moebius,Mortanius,0.08859617507317225
Mortanius,Raziel / narration,0.08780129732806978
Builder,Kain / dialogue,0.08579372315970903
Ariel,Umah,0.08445648358534512
Mortanius,Vorador,0.08084176159991903
Seer,Vorador,0.0802293178421416
Sebastian,Umah,0.07919061197435312
Beast,Vorador,0.07814853899314725
Moebius,Sarafan Lord,0.0779250602778596
Raziel / dialogue,Sebastian,0.07725362888825915
Ariel,Mortanius,0.07662491095847485
Elder God,Sarafan Lord,0.07621129350981536
Beast,Builder,0.07407531086322332
Kain / dialogue,Seer,0.07346002022835565
Ariel,Sarafan Lord,0.07202451504852118
Raziel / narration,Sarafan Lord,0.07005191332123371
Mortanius,Umah,0.06973777241129397
Builder,Kain / narration,0.06939210579576255
Raziel / dialogue,Seer,0.06767514573418473
Moebius,Sebastian,0.06595204335585071
Builder,Janos Audron,0.062759552433832
Builder,Raziel / narration,0.06123349361713042
Elder God,Seer,0.06022211984805662
Kain / narration,Sebastian,0.05711059941305905
Raziel / narration,Seer,0.05451807580600479
Builder,Elder God,0.054172595497762537
Beast,Raziel / dialogue,0.054159510419811166
Beast,Kain / narration,0.05301286512787051
Elder God,Mortanius,0.052941476963581605
Janos Audron,Sebastian,0.05188967525409843
Builder,Seer,0.051754498246177456
Moebius,Seer,0.05161479490243626
Beast,Raziel / narration,0.051531442880926294
Builder,Moebius,0.049404890393259446
Sarafan Lord,Sebastian,0.049306810180066975
Builder,Sarafan Lord,0.04827709261278459
Janos Audron,Seer,0.047653074830662195
Elder God,Sebastian,0.04757255869709326
Raziel / narration,Sebastian,0.0464407058685801
Kain / narration,Seer,0.04630791934259479
Beast,Seer,0.046232824600591194
Builder,Umah,0.044596605845240306
Beast,Sarafan Lord,0.0439657879237837
Ariel,Beast,0.042265596060546105
Ariel,Builder,0.04135903772337163
Builder,Raziel / dialogue,0.04089458993787497
Beast,Elder God,0.04055560713189686
Builder,Vorador,0.04000325028472248
Beast,Moebius,0.038351915379875895
Mortanius,Sarafan Lord,0.037612871531704326
Ariel,Sebastian,0.03473779124418584
Sarafan Lord,Seer,0.0321847642408099
Mortanius,Sebastian,0.023551983039358827
Beast,Mortanius,0.02286143872746526
Builder,Sebastian,0.022553208924973884
Sebastian,Seer,0.022490129839863145
Builder,Mortanius,0.022414914309761752
Ariel,Seer,0.02160928636452798
Beast,Sebastian,0.015627990233987112
Mortanius,Seer,0.011930559530767784
